Company_Name,Rating,Reviews,Company_Type,Location,Salaries,Interviews,Jobs,Benefits,Photos,Highly_Rated_For
Receivables Exchange of India,4.5,(81),FinTech,Mumbai +8 other locations,387,3,--,4,--,"Work Life Balance, Company Culture, Work Satisfaction"
Axio Biosolutions,4.5,(81),Medical Equipment,Ahmedabad +9 other locations,365,13,7,16,--,"Company Culture, Work Life Balance, Work Satisfaction"
Khansaheb Civil Engineering LLC,4.6,(81),Engineering & Construction,New Delhi +10 other locations,129,4,--,15,--,"Work Life Balance, Company Culture, Work Satisfaction"
IGO Agri Techfarms,4.6,(81),Food Processing,Chennai,40,31,9,--,--,"Company Culture, Work Satisfaction, Job Security"
Kesaria Rubber Industries,4.5,(81),Auto Components,Gurugram +5 other locations,278,2,2,11,1,"Work Life Balance, Work Satisfaction, Job Security"
BACentric,4.8,(81),Education & Training,Hyderabad +2 other locations,71,9,--,2,--,"Work Life Balance, Skill Development, Work Satisfaction"
Sigma Software Solutions,4.5,(81),IT Services & Consulting,Hyderabad +7 other locations,652,3,--,3,--,"Company Culture, Work Life Balance, Work Satisfaction"
Kingfisher Airlines,4.8,(81),Aviation,Mumbai +20 other locations,202,3,--,16,--,"Work Satisfaction, Salary, Company Culture"
Pr Professionals,4.9,(81),Marketing & Advertising,Gurugram +6 other locations,115,6,8,5,20,"Job Security, Company Culture, Work Life Balance"
ITIO Innovex Pvt Ltd,4.6,(81),FinTech,New Delhi +5 other locations,99,21,9,1,13,"Skill Development, Company Culture, Work Life Balance"
Pragyawan Technologies,4.6,(81),Noida +8 other locations,,122,42,--,1,--,"Company Culture, Work Satisfaction, Work Life Balance"
Bit Hub Technology,4.5,(81),IT Services & Consulting,Pune,1.3k,4,4,6,--,"Company Culture, Skill Development, Work Life Balance"
Cypherox Technologies Pvt. Ltd.,4.7,(80),IT Services & Consulting,New Delhi +1 other locations,77,60,2,1,--,"Work Satisfaction, Job Security, Skill Development"
JPAL,4.8,(81),Analytics & KPO,New Delhi +26 other locations,136,5,--,16,--,"Work Satisfaction, Work Life Balance, Salary"
Accucia Softwares Private Limited,4.6,(80),Software Product,Pune,53,55,--,1,21,"Company Culture, Work Satisfaction, Skill Development"
Golden Star Facilities and Services,4.6,(80),Facility Management Services,Hyderabad +13 other locations,287,4,--,12,--,"Work Life Balance, Work Satisfaction, Job Security"
Codelattice Digital Solutions,4.5,(80),IT Services & Consulting,New Delhi +4 other locations,94,1,7,6,5,"Company Culture, Work Life Balance, Work Satisfaction"
GigDe,4.5,(80),Marketing & Advertising,Noida +11 other locations,37,23,--,30,7,"Work Satisfaction, Job Security, Salary"
Skaf Construction,4.5,(80),Engineering & Construction,Mumbai +6 other locations,281,1,--,4,--,"Work Life Balance, Job Security, Skill Development"
Numera Finance,4.9,(80),Financial Services,Bengaluru +5 other locations,4,12,--,3,18,"Company Culture, Work Life Balance, Work Satisfaction"
NextGenVision Technology,4.6,(80),Financial Services,Noida +4 other locations,907,1,14,4,--,"Work Satisfaction, Skill Development, Company Culture"
Byteridge,4.5,(80),Software Product,Hyderabad,303,15,15,5,37,"Company Culture, Work Life Balance, Work Satisfaction"
Manasa Defence Academy,4.9,(79),New Delhi +3 other locations,,11,2,--,--,6,"Company Culture, Work Life Balance, Work Satisfaction"
Infinity Soft Systems,4.5,(79),IT Services & Consulting,Noida +1 other locations,229,3,--,2,--,"Company Culture, Skill Development, Salary"
Freestone Infotech,4.5,(79),IT Services & Consulting,Mumbai +4 other locations,261,3,3,21,4,"Company Culture, Work Life Balance, Skill Development"
ITC Wills Lifestyle,4.6,(79),Fashion & Textile,Gurugram +29 other locations,248,1,--,13,--,"Company Culture, Work Satisfaction, Job Security"
Tcart Global Services,4.6,(79),Recruitment,Gurugram,42,17,--,1,--,"Company Culture, Work Life Balance, Work Satisfaction"
